_id,BD_DT_DATE,BD_SYMBOL,BD_SCRIP_NAME,BD_CLIENT_NAME,BD_BUY_SELL,BD_QTY_TRD,BD_TP_WATP,BD_REMARKS,TIMESTAMP,createdAt,updatedAt,__v,mTIMESTAMP
669124249f989258cd241d31,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,SW CAPITAL PRIVATE LIMITED,SELL,1664674,38.63,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241d32,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,VT CAPITAL MARKET PVT LTD,SELL,5962712,40.25,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241cec,12-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,VT CAPITAL MARKET PVT LTD,BUY,5962712,40.4,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d36,12-JUL-2024,KELLTONTEC,Kellton Tech Sol Ltd,AAKRAYA RESEARCH LLP,SELL,638683,154.95,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241cf0,12-JUL-2024,KELLTONTEC,Kellton Tech Sol Ltd,AAKRAYA RESEARCH LLP,BUY,638683,154.78,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d37,12-JUL-2024,KELLTONTEC,Kellton Tech Sol Ltd,HRTI PRIVATE LIMITED,SELL,640110,154.79,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241cf1,12-JUL-2024,KELLTONTEC,Kellton Tech Sol Ltd,HRTI PRIVATE LIMITED,BUY,612829,154.34,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d38,12-JUL-2024,LOTUSEYE,Lotus Eye Hosp & Inst Ltd,. VRAMATH  FINANCIAL  SERVICES PVT LTD,SELL,31328,68.94,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.289Z,2024-07-12T12:40:04.289Z,0,12-Jul-2024
669124249f989258cd241cf2,12-JUL-2024,LOTUSEYE,Lotus Eye Hosp & Inst Ltd,. VRAMATH  FINANCIAL  SERVICES PVT LTD,BUY,131328,65.27,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241cf3,12-JUL-2024,MALLCOM,Mallcom (India) Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,32280,1441.94,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
